frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
31,5.0,[2202.5515439709243 1221.3840940113105 2821.928602068967 1831.2729368149703],[2426.8896484375 1637.033203125 2597.46142578125 1721.102783203125],0.6465809345245361,0,0
31,3.0,[683.8939650070686 1460.4443784797536 1399.9473224515211 2114.0813196786976],[923.356201171875 1880.508056640625 1158.5130615234375 1982.720703125],0.5675426721572876,0,0
32,5.0,[2201.3144616514373 1223.485109348597 2822.2378776137803 1834.1326733563462],[2425.31640625 1642.06396484375 2595.620361328125 1724.906005859375],0.6608582139015198,0,0
32,3.0,[681.5807103482109 1463.463907876513 1399.9553329362718 2116.372609497791],[922.317626953125 1882.3875732421875 1153.64794921875 1990.9119873046875],0.6010499000549316,0,0
33,5.0,[2200.301614881354 1225.6837136512777 2822.215245221877 1839.4881076332813],[2430.1591796875 1646.411865234375 2606.134765625 1733.524658203125],0.6391399502754211,0,0
33,3.0,[677.4104522824452 1466.2769452972602 1396.4594990235134 2119.9853203107905],[890.3551025390625 1881.9832763671875 1154.189697265625 1991.9849853515625],0.5957589745521545,0,0
34,5.0,[2201.105925294156 1228.403695693555 2821.6135550517747 1845.5560916497773],[2431.63330078125 1642.393798828125 2614.3193359375 1736.89892578125],0.6512933969497681,0,0
34,3.0,[675.7917915780013 1470.3956933376514 1396.5137770739157 2124.846193820652],[900.6729125976562 1884.07177734375 1158.37451171875 1998.207275390625],0.48634010553359985,0,0
35,5.0,[2202.284119620004 1233.502196880401 2825.3447821065524 1850.9694097883178],[2432.15673828125 1649.56103515625 2613.7861328125 1741.2958984375],0.6336578130722046,AU51VSU,0.13684561370841886
35,3.0,[674.2249638051744 1475.4231140866634 1395.8609883244462 2129.4667091232914],[912.9992065429688 1892.782958984375 1157.5447998046875 1994.522216796875],0.5773801803588867,NA13NRU,0.4351356904677819
36,5.0,[2201.132752773397 1244.146864731209 2827.3099187206185 1858.4148011403413],[2433.92236328125 1658.6444091796875 2615.29638671875 1748.3712158203125],0.6252005696296692,MO35YSU,0.03316864799761213
36,3.0,[671.941400809585 1480.6196722316076 1393.0683578328149 2133.5822636131657],[902.7861328125 1901.81103515625 1156.4849853515625 2005.688232421875],0.5637635588645935,0,0
37,5.0,[2199.651115930541 1248.4995427963947 2828.7627594494124 1860.6802292976934],[2434.2177734375 1658.344482421875 2615.06005859375 1748.3514404296875],0.6250913143157959,MZ51VSU,0.04720486720067043
37,3.0,[670.826285709456 1483.0550654111148 1391.7802205278572 2135.164323486565],[903.099609375 1902.1248779296875 1156.3721923828125 2005.6160888671875],0.5602672696113586,NA13NRU,0.18664119084421218
38,3.0,[669.2003576415225 1488.6217591579907 1392.4475673559111 2139.0663294864626],[924.1004638671875 1911.2764892578125 1148.2674560546875 2009.4305419921875],0.6396980285644531,NA13NRU,0.18115277057034973
38,5.0,[2202.248218161397 1250.5102973908022 2833.853635225626 1862.4352818482664],[2432.07275390625 1659.3035888671875 2616.86279296875 1747.0198974609375],0.6201461553573608,0,0
39,5.0,[2203.7040984714235 1252.315002264283 2838.1454176068105 1864.6116791957438],[2432.939453125 1663.7127685546875 2617.57080078125 1750.3857421875],0.5952929258346558,0,0
39,3.0,[669.8430490845149 1492.6054162840862 1393.843027099737 2143.0422956609796],[897.4190673828125 1912.636962890625 1141.815185546875 2014.840576171875],0.5867490768432617,0,0
40,5.0,[2204.100551563031 1250.5831579766145 2840.7732229510116 1865.7242013112636],[2433.520263671875 1673.024169921875 2613.01416015625 1752.8798828125],0.6211437582969666,0,0
40,3.0,[668.4867044455759 1496.8438847220807 1393.3502348935062 2146.542301573377],[900.3173217773438 1923.877685546875 1133.605712890625 2019.758544921875],0.6199131608009338,NA13NRU,0.31105867026595957
41,3.0,[665.4496385297869 1502.0649400253405 1391.448855708654 2148.9506037019546],[888.0452270507812 1925.596435546875 1147.29248046875 2033.3009033203125],0.6174017786979675,0,0
41,5.0,[2206.720853552928 1251.094423140174 2846.0226158972346 1868.9942702710182],[2435.7978515625 1675.763671875 2616.232177734375 1754.9066162109375],0.6111748218536377,MV51VSU,0.1734565269387654
42,5.0,[2205.5203186060908 1250.0250345056083 2846.880859361693 1871.7034838684076],[2434.75390625 1679.5283203125 2620.7939453125 1762.198974609375],0.6430568099021912,0,0
42,3.0,[660.3864226626536 1508.2791256808314 1387.4494489947645 2151.209182476944],[882.327392578125 1927.576416015625 1152.17138671875 2039.91455078125],0.6096550822257996,NA13NRU,0.45974752093676646
43,5.0,[2204.330363600367 1248.9288759083684 2847.0328770463734 1873.3219057596157],[2434.62109375 1679.7763671875 2620.398193359375 1762.218994140625],0.6418491005897522,0,0
43,3.0,[658.18142016053 1511.1971258681788 1386.0699109719321 2151.282149069759],[882.4586791992188 1927.748291015625 1152.061767578125 2039.771484375],0.6099718809127808,NA13NRU,0.45974752093676646
44,5.0,[2207.0810684352477 1251.997849698398 2853.2670541927496 1876.8961087577854],[2434.40673828125 1685.257080078125 2612.552734375 1767.982421875],0.6663970947265625,MI51VSU,0.10941998334246393
44,3.0,[656.5110849817443 1511.97774126885 1384.8639064224328 2151.181357359474],[877.4298095703125 1923.5225830078125 1135.0655517578125 2037.6068115234375],0.6376197934150696,NA13MRU,0.5144889890983401
45,5.0,[2206.3991064183506 1254.2631788791548 2853.2358493076986 1879.0221166046088],[2440.111328125 1687.38134765625 2616.0576171875 1768.365234375],0.6679997444152832,0,0
45,3.0,[654.8167099880693 1515.5608351126289 1384.724767040588 2153.0973073548116],[895.34033203125 1934.03515625 1150.44580078125 2043.95458984375],0.6197764873504639,NA13NRU,0.1972177698480139
46,5.0,[2209.2162083252215 1259.7931111485825 2855.1327394814725 1884.2898134034042],[2438.89111328125 1690.686767578125 2618.9140625 1773.521484375],0.6790373921394348,0,0
46,3.0,[652.6581546241453 1517.9004204162904 1382.983682566661 2152.6062476140796],[904.351318359375 1940.736328125 1140.9927978515625 2045.44482421875],0.6530437469482422,NA13MRU,0.4068280874435165
47,5.0,[2208.2593142341357 1262.1781663230283 2856.155089438238 1888.7474358718275],[2433.463623046875 1696.8369140625 2621.7451171875 1785.025634765625],0.665337085723877,MT51VSU,0.051893316306281356
47,3.0,[650.7495969188749 1518.8215756069026 1382.460923928958 2151.1720984765693],[882.0917358398438 1945.1195068359375 1147.53466796875 2060.54345703125],0.628783643245697,NA13MRU,0.33702545063279027
48,5.0,[2207.9454478174152 1266.5920720900394 2855.742595192985 1894.9078232623806],[2439.9033203125 1698.2208251953125 2622.75537109375 1785.22705078125],0.6732510328292847,0,0
48,3.0,[649.5623343634056 1521.5681992428615 1381.4060913604048 2151.2497370463034],[871.7946166992188 1954.641845703125 1123.27294921875 2065.18896484375],0.6279028654098511,0,0
49,5.0,[2207.522696375188 1267.8094148762848 2855.030987933215 1897.441475969651],[2439.890625 1697.936279296875 2622.843017578125 1785.054931640625],0.6725044250488281,0,0
49,3.0,[649.2277463349641 1523.2881123087802 1380.8197384255368 2150.8425300790805],[871.6365966796875 1954.363037109375 1124.3814697265625 2065.40771484375],0.627363920211792,0,0
50,5.0,[2206.8153392705694 1265.9457714016385 2856.1630205746364 1899.5386480153766],[2439.58203125 1698.3057861328125 2624.84716796875 1789.0565185546875],0.6877526640892029,0,0
50,3.0,[648.9647160115211 1527.0518493328545 1380.3656915187844 2151.367247006636],[866.0421752929688 1962.763427734375 1132.256103515625 2073.552490234375],0.6201030015945435,0,0
51,5.0,[2205.7954840927073 1267.4510465743256 2854.0009866968344 1903.1952658469645],[2437.568359375 1705.677978515625 2624.27294921875 1794.41748046875],0.6482539176940918,0,0
51,3.0,[648.4605318835748 1532.195249844531 1380.5401261432012 2152.7470264464373],[871.4727172851562 1970.402099609375 1129.554931640625 2073.380615234375],0.6438186168670654,NA13NPU,0.2054795740285128
52,5.0,[2206.0905516607804 1267.1504329199365 2854.989507974529 1906.2722264374179],[2438.49169921875 1709.8106689453125 2623.5380859375 1794.021240234375],0.6543492078781128,0,0
52,3.0,[645.7620752367861 1536.429826000198 1379.963001010721 2153.2775514420273],[885.2010498046875 1974.879150390625 1138.8665771484375 2084.530029296875],0.5998729467391968,NA13NRU,0.7488696628884816
53,3.0,[645.9770788944669 1539.6492135938859 1381.364062306326 2152.517398620578],[870.71337890625 1973.669677734375 1120.692626953125 2083.424560546875],0.6485663652420044,NA13NPU,0.28554970964060755
53,5.0,[2207.168812402281 1267.5615588520984 2855.1379449923816 1909.8367759037712],[2439.687255859375 1712.891845703125 2627.72705078125 1797.89013671875],0.626226007938385,0,0
54,3.0,[639.6811750923273 1544.0459576368112 1379.8754788172344 2152.5055276041085],[860.2695922851562 1977.109130859375 1127.8582763671875 2091.520751953125],0.6704831719398499,NA13MRU,0.22644487387213916
54,5.0,[2207.6422090594724 1267.26079994057 2855.733540207886 1912.4225810658318],[2441.0810546875 1719.3489990234375 2625.612548828125 1803.7225341796875],0.6496576070785522,0,0
55,3.0,[637.6315078207151 1546.4415013376956 1380.5109408491376 2151.7381793013546],[860.3241577148438 1977.196533203125 1127.708984375 2091.403076171875],0.6697279810905457,NA13MRU,0.22644487387213916
55,5.0,[2207.643786087033 1266.5396102871189 2855.8171085361046 1913.8568039106851],[2441.25439453125 1719.45263671875 2625.6328125 1803.72802734375],0.649728000164032,0,0
56,3.0,[636.4029965706334 1550.2569651218062 1378.9410386836364 2152.1646087349936],[873.0302124023438 1982.499755859375 1117.230712890625 2092.6376953125],0.6676485538482666,0,0
56,5.0,[2208.3927443832004 1266.8503659903974 2857.353687460775 1917.9020326550578],[2447.980224609375 1726.70263671875 2625.593994140625 1803.912353515625],0.6455466747283936,0,0
57,3.0,[627.5519329260771 1553.7942070089227 1372.5188427649605 2152.0812607689504],[864.1246948242188 1987.491943359375 1127.80908203125 2102.220703125],0.6745100021362305,0,0
57,5.0,[2208.714197487321 1272.0328600366315 2858.967465956338 1924.0333353858655],[2449.932861328125 1727.2855224609375 2629.412841796875 1809.5364990234375],0.6549776792526245,MJ51VSU,0.05762394385585622
58,5.0,[2211.1301929294846 1278.975867540842 2862.4865682375107 1930.2284675487654],[2446.2841796875 1733.3785400390625 2626.84814453125 1818.427001953125],0.678986668586731,0,0
58,3.0,[629.9809159044714 1558.2746647975625 1372.9729281323123 2152.4955026454877],[862.688232421875 1996.0975341796875 1119.650390625 2105.6474609375],0.6561893820762634,NA13NRU,0.6209711654230335
59,3.0,[631.9812326500252 1563.035155570606 1374.058185550999 2152.97182443848],[863.367919921875 2007.617431640625 1098.14501953125 2110.97314453125],0.6573882699012756,0,0
59,5.0,[2210.1981785758976 1281.2092302225703 2861.3595566048602 1935.8723799443376],[2450.0625 1736.838623046875 2632.640625 1813.85986328125],0.6475843191146851,0,0
60,3.0,[632.8345211119611 1565.516742288125 1372.9210103243183 2152.3567252336597],[885.548583984375 2017.80029296875 1094.9659423828125 2118.11474609375],0.6714747548103333,NA13NRU,0.4201098766710823
60,5.0,[2211.1862205638895 1286.629042339688 2862.983168421971 1942.1498203367864],[2449.62890625 1736.1126708984375 2634.99169921875 1821.98583984375],0.6685230135917664,0,0
61,3.0,[633.5503854709539 1566.9400475607608 1372.175086234782 2151.5055210728683],[885.2470703125 2017.694580078125 1095.1405029296875 2118.353515625],0.6713845133781433,NA13NRU,0.37081957437157614
61,5.0,[2211.4786255168156 1288.4349009603038 2863.6469520997744 1944.679191766867],[2449.061279296875 1735.9141845703125 2635.234375 1821.8067626953125],0.6664668917655945,0,0
62,3.0,[636.7434216952106 1570.5058006318773 1373.5141200374092 2151.681620274163],[881.0443725585938 2021.8623046875 1119.259765625 2124.484130859375],0.7097137570381165,0,0
62,5.0,[2210.976825551474 1290.3840275145658 2863.455205506412 1948.854405955231],[2445.26513671875 1742.885009765625 2634.199951171875 1832.674072265625],0.6615996956825256,0,0
63,3.0,[635.1847851395697 1575.988745656075 1370.7899933215454 2152.337603008767],[847.4736328125 2024.21923828125 1110.36328125 2133.22119140625],0.6757718920707703,0,0
63,5.0,[2211.520955718009 1292.3016052591797 2864.987476477218 1952.0329042314515],[2447.35986328125 1744.4981689453125 2633.347412109375 1833.9173583984375],0.6578531861305237,0,0
64,3.0,[631.3712443364259 1581.6967700124724 1368.4546172171142 2151.998476376506],[838.1050415039062 2028.456298828125 1109.60986328125 2136.27978515625],0.6662853956222534,NA13NRU,0.4671043797390991
64,5.0,[2214.099516704199 1297.5409313490004 2868.3839737485573 1956.9603351458813],[2446.23291015625 1748.445556640625 2636.76806640625 1840.181396484375],0.6658602952957153,0,0
65,3.0,[624.1528539936767 1586.468198999623 1364.5601774447357 2151.565363083581],[844.179443359375 2030.8436279296875 1109.3592529296875 2138.85693359375],0.6438287496566772,NA13NRU,0.4565049638170471
65,5.0,[2214.2849638893917 1303.8914362544688 2867.8406734306213 1962.1272527950637],[2448.150634765625 1754.117431640625 2634.85009765625 1841.994873046875],0.6292603611946106,0,0
66,3.0,[618.6042865009254 1590.4033002008484 1362.8041379106533 2151.301376787493],[852.2904052734375 2040.270263671875 1120.97802734375 2151.085693359375],0.6491326093673706,0,0
66,5.0,[2215.8354864250423 1308.6902009910198 2869.9311881398016 1966.517352235958],[2445.50537109375 1756.491943359375 2636.020751953125 1844.58837890625],0.6248521208763123,0,0
67,5.0,[2216.487396591329 1310.5522455344637 2871.4394045279646 1968.1310723557856],[2445.585205078125 1756.575439453125 2635.982666015625 1844.6495361328125],0.6231952905654907,0,0
68,5.0,[2217.2577765603437 1314.036953739325 2873.070281826487 1970.14381747443],[2450.61865234375 1765.2491455078125 2635.89599609375 1849.3883056640625],0.6148961186408997,0,0
69,5.0,[2215.9745881986128 1315.269578668263 2872.8164555570856 1972.075839610105],[2455.583984375 1768.78271484375 2636.742919921875 1850.876953125],0.6109427213668823,MT51YSU,0.06412275049045167
70,5.0,[2215.2644680913613 1314.5442902092643 2871.718820693926 1976.2123659404185],[2453.334228515625 1775.8992919921875 2642.7744140625 1855.8717041015625],0.640582263469696,0,0
71,5.0,[2215.609217788727 1315.361577952168 2871.8013982120615 1981.4952051886114],[2456.203125 1776.02978515625 2647.263427734375 1865.061279296875],0.6702769994735718,0,0
72,5.0,[2214.8399350100285 1319.9350962141878 2871.7064898242493 1987.6759282488313],[2458.015869140625 1781.907470703125 2641.872802734375 1863.46484375],0.6662117838859558,0,0
73,5.0,[2214.777653019925 1321.5799576902104 2872.1455237377772 1990.2076372249344],[2458.2392578125 1781.75830078125 2641.994384765625 1863.4365234375],0.6649326682090759,0,0
74,5.0,[2215.201876785679 1325.2687729663144 2871.676373051597 1994.813948829336],[2459.91455078125 1784.7802734375 2643.220947265625 1870.6318359375],0.6856755614280701,0,0
75,5.0,[2216.1137923198085 1331.671078564072 2870.7563413205917 2001.084830796865],[2456.46826171875 1788.9400634765625 2646.7294921875 1882.3011474609375],0.6826964616775513,CW51TSU,0.018944840254442895
76,5.0,[2219.5846050410937 1334.6126819673118 2873.2368486364076 2005.2453072487256],[2455.253173828125 1790.1983642578125 2644.88232421875 1884.6844482421875],0.6862382292747498,0,0
76,6.0,[1140.999892097757 1128.340545587201 1719.5567422062488 1577.1060926224388],[1339.4876708984375 1400.6552734375 1507.6015625 1474.264404296875],0.2656819820404053,0,0
77,5.0,[2218.6646425312906 1335.5963281760223 2874.3343314262315 2007.2709268421318],[2456.51806640625 1796.088623046875 2644.65380859375 1891.384521484375],0.6747254729270935,0,0
78,5.0,[2216.661120362757 1340.0181536232724 2877.1494693490667 2010.5825269128575],[2458.030517578125 1802.4949951171875 2647.24365234375 1892.611083984375],0.67242431640625,0,0
79,5.0,[2214.664522848279 1341.8978081252785 2878.589950749289 2011.6274519615422],[2457.652587890625 1802.3726806640625 2647.001220703125 1892.7593994140625],0.6722291707992554,0,0
80,5.0,[2216.1040590289085 1344.2390367548103 2884.109695023297 2014.3176532880077],[2457.8359375 1805.2734375 2646.8212890625 1897.5428466796875],0.6552059054374695,0,0
81,5.0,[2215.9553477115574 1350.274414284716 2886.9153271871905 2020.9167622413738],[2461.9111328125 1810.060302734375 2650.795166015625 1901.205078125],0.6307535767555237,0,0
82,5.0,[2218.51294112997 1355.9340231335914 2890.262345448556 2026.5630198575777],[2464.763671875 1815.8192138671875 2656.82666015625 1899.5738525390625],0.5927920937538147,0,0
